"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: FiveWs Pattern Mapping","Mapping: HL7 V2 Mapping","Mapping: RIM Mapping","Mapping: Interface Pattern","Mapping: ServD"
"Organization","Organization","","","",0,*,"","","","null {[]} {[]}
","A grouping of people or organizations with a common purpose","A formally or informally recognized grouping of people or organizations formed for the purpose of achieving some form of collective action.  Includes companies, institutions, corporations, departments, community groups, healthcare practice groups, payer/insurer, etc.","","","","","","","","","",,,,,"",,,,"Organization",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().ofType(canonical) | %resource.descendants().ofType(uri) | %resource.descendants().ofType(url))) or descendants().where(reference = '#').exists() or descendants().where(ofType(canonical) = '#').exists() or descendants().where(ofType(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}org-1:The organization SHALL at least have a name or an identifier, and possibly more than one {(identifier.count() + name.count()) > 0}","administrative.group","(also see master files messages)","Entity, Role, or Act,Organization(classCode=ORG, determinerCode=INST)","ParticipantContactable","Organization"
"Organization.id","Organization.id","","","",0,1,"","","Y","id {[]} {[]}
","Organization UUID","Organization UUID generated by openIMIS.","Within the context of the FHIR RESTful interactions, the resource has an id except for cases like the create and conditional update. Otherwise, the use of the resouce id depends on the given use case.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Organization.meta","Organization.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Organization.implicitRules","Organization.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of its narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Organization.language","Organization.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"required","IETF language tag for a human language","http://hl7.org/fhir/ValueSet/all-languages|5.0.0","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Organization.type.coding.version","Organization.type.coding.version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured, and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.7","./codeSystemVersion"
"Organization.type.coding.code","Organization.type.coding.code","","","",0,1,"","","Y","code {[]} {[]}
","Symbol in syntax defined by the system","A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).","","Need to refer to a particular code in the system.","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""bus""/>","","","",,,,,"",,,,"Coding.code",0,1,"cod-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.1","./code"
"Organization.type.coding.display","Organization.type.coding.display","","","",0,1,"","","Y","string {[]} {[]}
","Representation defined by the system","A representation of the meaning of the code in the system, following the rules of the system.","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"cod-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.2 - but note this is not well followed","CV.displayName"
"Organization.type.coding.userSelected","Organization.type.coding.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - e.g. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Sometimes implied by being first","CD.codingRationale"
"Organization.type.text","Organization.type.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.9. But note many systems use C*E.2 for this","./originalText[mediaType/code=""text/plain""]/data"
"Organization.name","Organization.name","","","",1,1,"","","Y","string {[]} {[]}
","Name used for the organization","A name associated with the organization.","If the name of an organization changes, consider putting the old name in the alias column so that it can still be located through searches.","Need to use the name as the label of the organization.","","","","","","","",,,,,"",,,,"Organization.name",0,1,"org-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XON.1",".name","Participant.name",".PreferredName/Name"
"Organization.alias","Organization.alias","","","",0,0,"","","","string {[]} {[]}
","A list of alternate names that the organization is known as, or was known as in the past","A list of alternate names that the organization is known as, or was known as in the past.","There are no dates associated with the alias/historic names, as this is not intended to track when names were used, but to assist in searching so that older names can still result in identifying the organization.","Over time locations and organizations go through many changes and can be known by different names.

For searching knowing previous names that the organization was known by can be very useful.","","","","","","","",,,,,"",,,,"Organization.alias",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".name"
"Organization.description","Organization.description","","","",0,1,"","","Y","markdown {[]} {[]}
","Additional details about the Organization that could be displayed as further information to identify the Organization beyond its name","Description of the organization, which helps provide additional general context on the organization to ensure that the correct organization is selected.","","Humans need additional information to verify a correct Organization has been selected.","","","","","","","",,,,,"",,,,"Organization.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".playingEntity[classCode=PLC determinerCode=INSTANCE].desc"
"Organization.contact","Organization.contact","","","",0,1,"","","","ExtendedContactDetail {[]} {[]}
","PolicyHolder contact","PolicyHolder contact details. ","The address/telecom use code 'home' are not to be used. Note that these contacts are not the contact details of people who provide the service (that would be through PractitionerRole), these are official contacts for the Organization itself for specific purposes. E.g. Mailing Addresses, Billing Addresses, Contact numbers for Booking or Billing Enquiries, general web address, web address for online bookings etc.","Need to keep track of assigned contact points within bigger organization.","","","","","","","",,,,,"",,,,"Organization.contact",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
org-3:The telecom of an organization can never be of use 'home' {telecom.where(use = 'home').empty()}org-4:The address of an organization can never be of use 'home' {address.where(use = 'home').empty()}",".contactParty"
"Organization.contact.id","Organization.contact.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"Organization.contact.extension","Organization.contact.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Organization.contact.purpose","Organization.contact.purpose","","","",0,0,"","","Y","CodeableConcept {[]} {[]}
","The type of contact","The purpose/type of contact.","If no purpose is defined, then these contact details may be used for any purpose.","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://terminology.hl7.org/CodeSystem/contactentity-type""/>
    <code value=""PAYOR""/>
  </coding>
</valueCodeableConcept>","","","",,"preferred","The purpose for which an extended contact detail should be used.","http://terminology.hl7.org/ValueSet/contactentity-type","",,,,"ExtendedContactDetail.purpose",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Organization.contact.name","Organization.contact.name","","","",1,1,"","","Y","HumanName {[]} {[]}
","Name of an individual to contact","The name of an individual to contact, some types of contact detail are usually blank.","If there is no named individual, the telecom/address information is not generally monitored by a specific individual.","","","","","","","","",,,,,"",,,,"ExtendedContactDetail.name",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Organization.contact.name.id","Organization.contact.name.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"Organization.contact.name.extension","Organization.contact.name.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Organization.contact.name.use","Organization.contact.name.use","","","",0,0,"","Y","Y","code {[]} {[]}
","usual | official | temp | nickname | anonymous | old | maiden","Identifies the purpose for this name.","Applications can assume that a name is current unless it explicitly says that it is temporary or old.","Allows the appropriate name for a particular context of use to be selected from among a set of names.","","","","","","","",,"required","The use of a human name.","http://hl7.org/fhir/ValueSet/name-use|5.0.0","",,,,"HumanName.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XPN.7, but often indicated by which field contains the name","unique(./use)","./NamePurpose"
"Organization.contact.name.text","Organization.contact.name.text","","","",1,1,"","","Y","string {[]} {[]}
","Text representation of the full name","Specifies the entire name as it should be displayed e.g. on an application UI. This may be provided instead of or as well as the specific parts.","Can provide both a text representation and parts. Applications updating a name SHALL ensure that when both text and parts are present,  no content is included in the text that isn't found in a part.","A renderable, unencoded form.","","","","","","","",,,,,"",,,,"HumanName.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","implied by XPN.11","./formatted"
"Organization.contact.name.family","Organization.contact.name.family","","surname
","",0,0,"","","Y","string {[]} {[]}
","Family name (often called 'Surname')","The part of a name that links to the genealogy. In some cultures (e.g. Eritrea) the family name of a son is the first name of his father.","Family Name may be decomposed into specific parts using extensions (de, nl, es related cultures).","","","","","","","","",,,,,"",,,,"HumanName.family",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XPN.1/FN.1","./part[partType = FAM]","./FamilyName"
"Organization.contact.name.given","Organization.contact.name.given","","first name
middle name","",0,0,"","","Y","string {[]} {[]}
","Given names (not always 'first'). Includes middle names","Given name.","If only initials are recorded, they may be used in place of the full name parts. Initials may be separated into multiple given names but often aren't due to paractical limitations.  This element is not called ""first name"" since given names do not always come first.","","","","","","","","",,,,,"",,,,"HumanName.given",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XPN.2 + XPN.3","./part[partType = GIV]","./GivenNames"
"Organization.contact.name.prefix","Organization.contact.name.prefix","","","",0,0,"","","Y","string {[]} {[]}
","Parts that come before the name","Part of the name that is acquired as a title due to academic, legal, employment or nobility status, etc. and that appears at the start of the name.","","","","","","","","","",,,,,"",,,,"HumanName.prefix",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XPN.5","./part[partType = PFX]","./TitleCode"
"Organization.contact.name.suffix","Organization.contact.name.suffix","","","",0,0,"","","Y","string {[]} {[]}
","Parts that come after the name","Part of the name that is acquired as a title due to academic, legal, employment or nobility status, etc. and that appears at the end of the name.","","","","","","","","","",,,,,"",,,,"HumanName.suffix",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XPN/4","./part[partType = SFX]"
"Organization.contact.name.period","Organization.contact.name.period","","","",0,0,"","","Y","Period {[]} {[]}
","Time period when name was/is in use","Indicates the period of time when this name was valid for the named person.","","Allows names to be placed in historical context.","","","","","","","",,,,,"",,,,"HumanName.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XPN.13 + XPN.14","./usablePeriod[type=""IVL<TS>""]","./StartDate and ./EndDate"
"Organization.contact.telecom","Organization.contact.telecom","","","",0,3,"Y","","Y","ContactPoint {[]} {[]}
","Contact details (e.g.phone/fax/url)","The contact details application for the purpose defined.","","","","","","","","","",,,,,"","value:system}
","",,"open","ExtendedContactDetail.telecom",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Organization.contact.telecom.id","Organization.contact.telecom.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"Organization.contact.telecom.extension","Organization.contact.telecom.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Organization.contact.telecom.system","Organization.contact.telecom.system","","","",0,1,"","","Y","code {[]} {[]}
","phone | fax | email | pager | url | sms | other","Telecommunications form for contact point - what communications system is required to make use of the contact.","","","","","","","","","",,"required","Telecommunications form for contact point.","http://hl7.org/fhir/ValueSet/contact-point-system|5.0.0","",,,,"ContactPoint.system",0,1,"cpt-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XTN.3","./scheme","./ContactPointType"
"Organization.contact.telecom.value","Organization.contact.telecom.value","","","",1,1,"","","Y","string {[]} {[]}
","The actual contact point details","The actual contact point details, in a form that is meaningful to the designated communication system (i.e. phone number or email address).","Additional text data such as phone extension numbers, or notes about use of the contact are sometimes included in the value.","Need to support legacy numbers that are not in a tightly controlled format.","","","","","","","",,,,,"",,,,"ContactPoint.value",0,1,"cpt-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XTN.1 (or XTN.12)","./url","./Value"
"Organization.contact.telecom.use","Organization.contact.telecom.use","","","",0,1,"","Y","Y","code {[]} {[]}
","home | work | temp | old | mobile - purpose of this contact point","Identifies the purpose for the contact point.","Applications can assume that a contact is current unless it explicitly says that it is temporary or old.","Need to track the way a person uses this contact, so a user can choose which is appropriate for their purpose.","","","","","","","",,"required","Use of contact point.","http://hl7.org/fhir/ValueSet/contact-point-use|5.0.0","",,,,"ContactPoint.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XTN.2 - but often indicated by field","unique(./use)","./ContactPointPurpose"
"Organization.contact.telecom.rank","Organization.contact.telecom.rank","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Specify preferred order of use (1 = highest)","Specifies a preferred order in which to use a set of contacts. ContactPoints with lower rank values are more preferred than those with higher rank values.","Note that rank does not necessarily follow the order in which the contacts are represented in the instance.

Ranks need not be unique.  E.g. it's possible to have multiple contacts with rank=1.  If the ranks have different systems or uses, this would be interpreted to mean ""X is my most preferred phone number, Y is my most preferred email address"" or ""X is my preferred home email and Y is my preferred work email"".  If the system and use for equally-ranked contacts are the same, then the level of preference is equivalent for both repetitions. 

Ranks need not be sequential and not all repetitions must have a rank.  For example, it's possible to have 4 contacts with ranks of 2, 5 and two with no rank specified.  That would be interpreted to mean the first is preferred over the second and no preference stated for the remaining contacts.","","","","","","","","",,,,,"",,,,"ContactPoint.rank",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","n/a"
"Organization.contact.telecom.period","Organization.contact.telecom.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when the contact point was/is in use","Time period when the contact point was/is in use.","","","","","","","","","",,,,,"",,,,"ContactPoint.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A","./usablePeriod[type=""IVL<TS>""]","./StartDate and ./EndDate"
"Organization.contact.telecom:email","Organization.contact.telecom","email","","",0,1,"","","Y","ContactPoint {[]} {[]}
","Contact details (e.g.phone/fax/url)","The contact details application for the purpose defined.","","","","","","","","","",,,,,"",,,,"ExtendedContactDetail.telecom",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Organization.contact.telecom:email.id","Organization.contact.telecom.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"Organization.contact.telecom:email.extension","Organization.contact.telecom.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Organization.contact.telecom:email.system","Organization.contact.telecom.system","","","",1,1,"","","Y","code {[]} {[]}
","PolicyHolder email","PolicyHolder email contact.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""email""/>","","","",,"required","Telecommunications form for contact point.","http://hl7.org/fhir/ValueSet/contact-point-system|5.0.0","",,,,"ContactPoint.system",0,1,"cpt-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XTN.3","./scheme","./ContactPointType"
"Organization.contact.telecom:email.value","Organization.contact.telecom.value","","","",1,1,"","","Y","string {[]} {[]}
","The actual contact point details","The actual contact point details, in a form that is meaningful to the designated communication system (i.e. phone number or email address).","Additional text data such as phone extension numbers, or notes about use of the contact are sometimes included in the value.","Need to support legacy numbers that are not in a tightly controlled format.","","","","","","","",,,,,"",,,,"ContactPoint.value",0,1,"cpt-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XTN.1 (or XTN.12)","./url","./Value"
"Organization.contact.telecom:email.use","Organization.contact.telecom.use","","","",0,1,"","Y","Y","code {[]} {[]}
","home | work | temp | old | mobile - purpose of this contact point","Identifies the purpose for the contact point.","Applications can assume that a contact is current unless it explicitly says that it is temporary or old.","Need to track the way a person uses this contact, so a user can choose which is appropriate for their purpose.","","","","","","","",,"required","Use of contact point.","http://hl7.org/fhir/ValueSet/contact-point-use|5.0.0","",,,,"ContactPoint.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XTN.2 - but often indicated by field","unique(./use)","./ContactPointPurpose"
"Organization.contact.telecom:email.rank","Organization.contact.telecom.rank","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Specify preferred order of use (1 = highest)","Specifies a preferred order in which to use a set of contacts. ContactPoints with lower rank values are more preferred than those with higher rank values.","Note that rank does not necessarily follow the order in which the contacts are represented in the instance.

Ranks need not be unique.  E.g. it's possible to have multiple contacts with rank=1.  If the ranks have different systems or uses, this would be interpreted to mean ""X is my most preferred phone number, Y is my most preferred email address"" or ""X is my preferred home email and Y is my preferred work email"".  If the system and use for equally-ranked contacts are the same, then the level of preference is equivalent for both repetitions. 

Ranks need not be sequential and not all repetitions must have a rank.  For example, it's possible to have 4 contacts with ranks of 2, 5 and two with no rank specified.  That would be interpreted to mean the first is preferred over the second and no preference stated for the remaining contacts.","","","","","","","","",,,,,"",,,,"ContactPoint.rank",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","n/a"
"Organization.contact.telecom:email.period","Organization.contact.telecom.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when the contact point was/is in use","Time period when the contact point was/is in use.","","","","","","","","","",,,,,"",,,,"ContactPoint.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A","./usablePeriod[type=""IVL<TS>""]","./StartDate and ./EndDate"
"Organization.contact.telecom:phone","Organization.contact.telecom","phone","","",0,1,"","","Y","ContactPoint {[]} {[]}
","Contact details (e.g.phone/fax/url)","The contact details application for the purpose defined.","","","","","","","","","",,,,,"",,,,"ExtendedContactDetail.telecom",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Organization.contact.telecom:phone.id","Organization.contact.telecom.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"Organization.contact.telecom:phone.extension","Organization.contact.telecom.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Organization.contact.telecom:phone.system","Organization.contact.telecom.system","","","",1,1,"","","Y","code {[]} {[]}
","PolicyHolder phone","PolicyHolder phone contact.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""phone""/>","","","",,"required","Telecommunications form for contact point.","http://hl7.org/fhir/ValueSet/contact-point-system|5.0.0","",,,,"ContactPoint.system",0,1,"cpt-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XTN.3","./scheme","./ContactPointType"
"Organization.contact.telecom:phone.value","Organization.contact.telecom.value","","","",1,1,"","","Y","string {[]} {[]}
","The actual contact point details","The actual contact point details, in a form that is meaningful to the designated communication system (i.e. phone number or email address).","Additional text data such as phone extension numbers, or notes about use of the contact are sometimes included in the value.","Need to support legacy numbers that are not in a tightly controlled format.","","","","","","","",,,,,"",,,,"ContactPoint.value",0,1,"cpt-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XTN.1 (or XTN.12)","./url","./Value"
"Organization.contact.telecom:phone.use","Organization.contact.telecom.use","","","",0,1,"","Y","Y","code {[]} {[]}
","home | work | temp | old | mobile - purpose of this contact point","Identifies the purpose for the contact point.","Applications can assume that a contact is current unless it explicitly says that it is temporary or old.","Need to track the way a person uses this contact, so a user can choose which is appropriate for their purpose.","","","","","","","",,"required","Use of contact point.","http://hl7.org/fhir/ValueSet/contact-point-use|5.0.0","",,,,"ContactPoint.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XTN.2 - but often indicated by field","unique(./use)","./ContactPointPurpose"
"Organization.contact.telecom:phone.rank","Organization.contact.telecom.rank","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Specify preferred order of use (1 = highest)","Specifies a preferred order in which to use a set of contacts. ContactPoints with lower rank values are more preferred than those with higher rank values.","Note that rank does not necessarily follow the order in which the contacts are represented in the instance.

Ranks need not be unique.  E.g. it's possible to have multiple contacts with rank=1.  If the ranks have different systems or uses, this would be interpreted to mean ""X is my most preferred phone number, Y is my most preferred email address"" or ""X is my preferred home email and Y is my preferred work email"".  If the system and use for equally-ranked contacts are the same, then the level of preference is equivalent for both repetitions. 

Ranks need not be sequential and not all repetitions must have a rank.  For example, it's possible to have 4 contacts with ranks of 2, 5 and two with no rank specified.  That would be interpreted to mean the first is preferred over the second and no preference stated for the remaining contacts.","","","","","","","","",,,,,"",,,,"ContactPoint.rank",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","n/a"
